2026-06-04 14:56:04,697 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #9 | Total: INR 10620.00 | Customer ID: 3
2026-06-04 15:03:46,303 - WARNING - [billing_routes.py:90] - Transaction intercept: Stock deficit for product ID 1. Requested: 10, Found: 4
2026-06-04 15:03:53,214 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #10 | Total: INR 1062.00 | Customer ID: 2
2026-06-04 15:21:14,112 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #11 | Total: INR 29500.00 | Customer ID: 3
2026-06-04 15:23:12,486 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #12 | Total: INR 1416.00 | Customer ID: 3
2026-06-04 15:25:55,824 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #13 | Total: INR 3540.00 | Customer ID: 3
2026-06-04 15:29:10,003 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #14 | Total: INR 3540.00 | Customer ID: 3
2026-06-04 15:35:41,448 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #15 | Total: INR 7080.00 | Customer ID: 3
2026-06-04 15:39:04,128 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #16 | Total: INR 708.00 | Customer ID: 3
2026-06-04 15:42:12,598 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #17 | Total: INR 59000.00 | Customer ID: 2
2026-06-04 15:59:24,810 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #18 | Total: INR 708.00 | Customer ID: 3
2026-06-04 16:03:45,997 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #19 | Total: INR 59000.00 | Customer ID: 3
2026-06-04 17:00:40,683 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #1 | Total: INR 5310.00 | Customer ID: 3
2026-06-05 09:34:17,544 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #2 | Total: INR 1770.00 | Customer ID: 3
2026-06-05 09:49:46,689 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #3 | Total: INR 1770.00 | Customer ID: 3
2026-06-05 09:53:24,674 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #4 | Total: INR 1770.00 | Customer ID: 1
2026-06-05 11:21:58,585 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #5 | Total: INR 1062.00 | Customer ID: 2
2026-06-05 12:12:42,340 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #6 | Total: INR 1062.00 | Customer ID: 2
2026-06-05 12:17:45,327 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #7 | Total: INR 1770.00 | Customer ID: 3
2026-06-05 12:28:28,208 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #8 | Total: INR 1770.00 | Customer ID: 2
2026-06-05 12:37:55,410 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #9 | Total: INR 1770.00 | Customer ID: 3
2026-06-05 13:02:43,789 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #10 | Total: INR 1062.00 | Customer ID: 3
2026-06-05 13:58:12,699 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #11 | Total: INR 1062.00 | Customer ID: 1
2026-06-05 14:13:54,577 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #12 | Total: INR 1062.00 | Customer ID: 3
2026-06-05 14:51:05,027 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #13 | Total: INR 1062.00 | Customer ID: 3
2026-06-05 15:19:42,271 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #14 | Total: INR 1770.00 | Customer ID: 1
2026-06-05 15:22:01,642 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #1 | Total: INR 59000.00 | Customer ID: 1
2026-06-06 14:04:21,340 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #2 | Total: INR 1062.00 | Customer ID: 3
2026-06-08 14:16:05,876 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #3 | Total: INR 17700.00 | Customer ID: 1
2026-06-08 14:48:16,599 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #4 | Total: INR 63720.00 | Customer ID: 1
2026-06-08 14:49:16,928 - INFO - [billing_routes.py:138] - Invoice successfully instantiated: Bill ID #1 | Total: INR 63720.00 | Customer ID: 1
